ADM2_EN,ADM2_MN,ADM2_PCODE,ADM1_EN,ADM1_MN,ADM1_PCODE,date,validOn,POINT_X,POINT_Y
Bayantu'men,Баянтүмэн,MN2107,Dornod,Дорнод,MN21,12/1/2016,10/19/2020,115.2742226,48.04922579
Bayanxairxan,Баянхайрхан,MN8113,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,96.28988036,49.3568938
Bayanxangai,Баянхангай,MN4128,To'v,Төв,MN41,12/1/2016,10/19/2020,105.4923313,47.91603961
Bayanxongor,Баянхонгор,MN6401,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,100.7048485,46.18886388
Bayanxutag,Баянхутаг,MN2319,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,110.9790024,47.17746709
Bayanzu'rx,Баянзүрх,MN1110,Ulaanbaatar,Улаанбаатар,MN11,12/1/2016,10/19/2020,107.1408248,47.9457848
Bayanzu'rx,Баянзүрх,MN6710,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,98.67743523,50.22912088
Biger,Бигэр,MN8210,Govi-Altai,Говь-Алтай,MN82,12/1/2016,10/19/2020,97.17294315,45.72621864
Binder,Биндэр,MN2322,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,110.6440693,48.59213705
Bo'mbogor,Бөмбөгөр,MN6428,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,99.58624362,46.25066286
Bo'xmoron,Бөхмөрөн,MN8507,Uvs,Увс,MN85,12/1/2016,10/19/2020,90.62356678,49.83692636
Bogd,Богд,MN6216,Ovorkhangai,Өвөрхангай,MN62,12/1/2016,10/19/2020,102.3050045,44.5670012
Bogd,Богд,MN6425,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,100.8427829,45.13259664
Bor-Ondor,Бор-Өндөр,MN2352,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,109.401914,46.24373065
Bornuur,Борнуур,MN4140,To'v,Төв,MN41,12/1/2016,10/19/2020,106.253962,48.49512823
Bu'rd,Бүрд,MN6219,Ovorkhangai,Өвөрхангай,MN62,12/1/2016,10/19/2020,103.8740718,47.05864459
Bu'regxangai,Бүрэгхангай,MN6313,Bulgan,Булган,MN63,12/1/2016,10/19/2020,104.0909784,48.3826058
Bu'ren,Бүрэн,MN4143,To'v,Төв,MN41,12/1/2016,10/19/2020,105.1737027,46.85821388
Bu'rentogtox,Бүрэнтогтох,MN6713,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,99.57507531,49.45847368
Bugat,Бугат,MN6310,Bulgan,Булган,MN63,12/1/2016,10/19/2020,103.4412172,49.09635965
Bugat,Бугат,MN8213,Govi-Altai,Говь-Алтай,MN82,12/1/2016,10/19/2020,94.13208062,45.23095037
Bugat,Бугат,MN8313,Bayan-Olgii,Баян-Өлгий,MN83,12/1/2016,10/19/2020,90.2105484,48.80169272
Bulgan,Булган,MN2113,Dornod,Дорнод,MN21,12/1/2016,10/19/2020,114.2057098,47.66591396
Bulgan,Булган,MN4610,Omnogovi,Өмнөговь,MN46,12/1/2016,10/19/2020,103.4709534,44.1982989
Bulgan,Булган,MN6301,Bulgan,Булган,MN63,12/1/2016,10/19/2020,103.4920267,48.82312333
Bulgan,Булган,MN6507,Arxangai,Архангай,MN65,12/1/2016,10/19/2020,101.1334794,47.16436266
Bulgan,Булган,MN8316,Bayan-Olgii,Баян-Өлгий,MN83,12/1/2016,10/19/2020,91.17763666,47.0167097
Bulgan,Булган,MN8407,Khovd,Ховд,MN84,12/1/2016,10/19/2020,91.19714556,45.91278596
Buucagaan,Бууцагаан,MN6431,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,98.81962713,46.17649018
Buyant,Буянт,MN8319,Bayan-Olgii,Баян-Өлгий,MN83,12/1/2016,10/19/2020,89.76507603,48.58830459
Buyant,Буянт,MN8410,Khovd,Ховд,MN84,12/1/2016,10/19/2020,91.9200418,47.935137
Cagaan-Ovoo,Цагаан-Овоо,MN2134,Dornod,Дорнод,MN21,12/1/2016,10/19/2020,113.2288507,48.42889099
Cagaan-U'ur,Цагаан-Үүр,MN6755,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,101.6326674,50.91727121
Cagaan-Uul,Цагаан-Уул,MN6752,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,98.57607086,49.55620895
Cagaanchuluut,Цагаанчулуут,MN8158,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,96.67915631,47.11812989
Cagaandelger,Цагаандэлгэр,MN4840,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,107.8594704,46.38296931
Cagaannuur,Цагааннуур,MN4346,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,105.2238147,50.02189653
Cagaannuur,Цагааннуур,MN6749,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,99.01278862,51.66606917
Cagaanxairxan,Цагаанхайрхан,MN8155,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,96.80093575,47.47773445
Cagaanxairxan,Цагаанхайрхан,MN8555,Uvs,Увс,MN85,12/1/2016,10/19/2020,94.21554994,49.11514663
Caxir,Цахир,MN6543,Arxangai,Архангай,MN65,12/1/2016,10/19/2020,98.6598374,47.96165931
Ceceg,Цэцэг,MN8443,Khovd,Ховд,MN84,12/1/2016,10/19/2020,93.2620708,46.35851918
Cecen-Uul,Цэцэн-Уул,MN8161,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,95.86132755,48.57978986
Cecerleg,Цэцэрлэг,MN6549,Arxangai,Архангай,MN65,12/1/2016,10/19/2020,101.1428067,48.93355368
Cecerleg,Цэцэрлэг,MN6758,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,97.68181417,49.46551869
Ceel,Цээл,MN4173,To'v,Төв,MN41,12/1/2016,10/19/2020,105.1468325,48.3861247
Ceel,Цээл,MN8243,Govi-Altai,Говь-Алтай,MN82,12/1/2016,10/19/2020,95.67763042,45.47297714
Cengel,Цэнгэл,MN8340,Bayan-Olgii,Баян-Өлгий,MN83,12/1/2016,10/19/2020,88.51733977,48.84648404
Cenxer,Цэнхэр,MN6546,Arxangai,Архангай,MN65,12/1/2016,10/19/2020,101.6889469,47.17943835
Cenxermandal,Цэнхэрмандал,MN2349,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,108.9117932,47.8320615
Chandmani,Чандмань,MN8246,Govi-Altai,Говь-Алтай,MN82,12/1/2016,10/19/2020,98.01052807,45.47955551
Chandmani,Чандмань,MN8446,Khovd,Ховд,MN84,12/1/2016,10/19/2020,92.98260957,47.75204932
Chandmani-O'ndor,Чандмань-Өндөр,MN6761,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,100.8473189,50.49572682
Chingeltei,Чингэлтэй,MN1125,Ulaanbaatar,Улаанбаатар,MN11,12/1/2016,10/19/2020,106.8822517,48.0273894
Choibalsan,Чойбалсан,MN2137,Dornod,Дорнод,MN21,12/1/2016,10/19/2020,115.491368,48.92981304
Chuluunxoroot,Чулуунхороот,MN2140,Dornod,Дорнод,MN21,12/1/2016,10/19/2020,115.0045329,49.90541287
Chuluut,Чулуут,MN6552,Arxangai,Архангай,MN65,12/1/2016,10/19/2020,100.1726633,47.50912623
Cogt,Цогт,MN8240,Govi-Altai,Говь-Алтай,MN82,12/1/2016,10/19/2020,96.60718488,44.50868996
Cogt-Cecii,Цогтцэций,MN4643,Omnogovi,Өмнөговь,MN46,12/1/2016,10/19/2020,105.8787194,43.7719869
Cogt-Ovoo,Цогт-Овоо,MN4640,Omnogovi,Өмнөговь,MN46,12/1/2016,10/19/2020,105.1157328,44.34230637
Dadal,Дадал,MN2328,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,111.5105902,49.09030914
Dalanjargalan,Даланжаргалан,MN4410,Dornogovi,Дорноговь,MN44,12/1/2016,10/19/2020,108.9603062,45.99463733
Dalanzadgad,Даланзадгад,MN4601,Omnogovi,Өмнөговь,MN46,12/1/2016,10/19/2020,104.4286986,43.57489949
Dariganga,Дарьганга,MN2210,Sukhbaatar,Сүхбаатар,MN22,12/1/2016,10/19/2020,114.1303053,45.4437099
Darvi,Дарви,MN8413,Khovd,Ховд,MN84,12/1/2016,10/19/2020,93.67152121,47.02041313
Darvi,Дарив,MN8216,Govi-Altai,Говь-Алтай,MN82,12/1/2016,10/19/2020,94.30283761,46.50871768
